ID,制作物名,説明,制作物種別,開始日,終了日,実施開始時間,実施終了時間,放送時間,放送曜日,ステータス,親制作物ID,親制作物名
340,+Smile,"FM横浜番組表（2025年版）
メール: smile@fmyokohama.jp",レギュラー,,,24:00,24:30,,金,放送中,,
391,Baile Yokohama,"FM横浜番組表（2025年版）
メール: baile@fmyokohama.jp",レギュラー,,,21:30,22:00,,日,放送中,,
335,FLAG,"FM横浜番組表（2025年版）
メール: flag@fmyokohama.jp",レギュラー,,,12:00,14:45,,金,放送中,,
354,God Bless Saturday,"FM横浜番組表（2025年版）
メール: gbs@fmyokohama.jp",レギュラー,,,13:00,15:55,,土,放送中,,
339,JACK STYLE,"FM横浜番組表（2025年版）
メール: jack@fmyokohama.jp",レギュラー,,,23:30,24:00,,金,放送中,,
293,Mach Discovery,"FM横浜番組表（2025年版）
メール: mach@fmyokohama.jp",レギュラー,,,05:15,05:45,,火,放送中,,
52,Route847,,イベント,2025-11-01,,,,,,完了,,
60,Route847 度出演費,,イベント,2025-11-01,,,,,,完了,,
61,Route847 番組制作費,,イベント,2025-11-01,,,,,,完了,,
397,Sunday Pocket,"FM横浜番組表（2025年版）
メール: sp@fmyokohama.jp",レギュラー,,,24:30,25:00,,日,放送中,,
62,Sunday Pocket制作費,,イベント,2025-11-01,,,,,,完了,,
305,YOKOHAMA LAGOON,"FM横浜番組表（2025年版）
メール: lagoon@fmyokohama.jp",レギュラー,,,05:30,06:00,,水,放送中,,
111,ちょうどいいラジオ（イベント）,,イベント,2025-11-01,,,,,,完了,,
256,ちょうどいいラジオ,"FM横浜番組表（2025年版）
メール: cer@fmyokohama.jp",レギュラー,,,06:00,09:00,,"月,火,水,木",放送中,,
71,ちょうどいいラジオ　令和7年生番組制作費,,イベント,2025-11-01,,,,,,完了,,
72,ちょうどいいラジオスタッフ宿泊費,,イベント,2025-11-01,,,,,,完了,,
318,グローバル・シチズン,"FM横浜番組表（2025年版）
メール: nakayoshi@fmyokohama.jp",レギュラー,,,05:30,06:00,,木,放送中,,
332,ジェイワンホームズ 心にまいう～ 一輪・二輪・サンバ！,"FM横浜番組表（2025年版）
メール: kkr_maiu@fmyokohama.jp",レギュラー,,,05:45,06:00,,金,放送中,,
255,メラタデマンデー,"FM横浜番組表（2025年版）
メール: kent@fmyokohama.jp",レギュラー,,,05:15,05:45,,月,放送中,,
90,メラタデマンデー2025年4月分制作費,,イベント,2025-11-01,,,,,,完了,,
330,四畳半エメラルド supported by ReNY,"FM横浜番組表（2025年版）
メール: yoneme@fmyokohama.jp",レギュラー,,,27:00,27:30,,木,放送中,,
342,懐メロ時間旅行,"FM横浜番組表（2025年版）
メール: aiby@fmyokohama.jp",レギュラー,,,25:00,25:30,,金,放送中,,
381,横浜DiscoTrain,"FM横浜番組表（2025年版）
メール: yokohamadisco@fmyokohama.jp",レギュラー,,,15:20,15:30,,日,放送中,,
328,癒しのサプリ,"FM横浜番組表（2025年版）
メール: iyashi@fmyokohama.jp",レギュラー,,,26:00,26:30,,木,放送中,,
275,飲食店応援団！Fヨコ SAVE&EAT,"FM横浜番組表（2025年版）
親番組: Tresen",コーナー,,,16:00,,,月,放送中,273.0,Tresen
398,COMIC ATLAS,,レギュラー,,,,,,,放送中,,
399,Lovely Day♡,,レギュラー,,,,,,,放送中,,
400,キイテル「裸足」,,レギュラー,,,,,,,放送中,,
401,キイテル「ロケットマンショー」,,レギュラー,,,,,,,放送中,,
402,全番組共通,,その他,,,,,,,放送中,,
403,その他イベント,,イベント,,,,,,,完了,,
404,PRIME TIME,,レギュラー,,,,,,,放送中,,
405,ニュース室,,その他,,,,,,,放送中,,
406,ドライバーズモーニングＱ,,レギュラー,,,,,,,放送中,,
407,〇〇玉手箱,,レギュラー,,,,,,,放送中,,
408,ここが知りたい不動産,,レギュラー,,,,,,,放送中,,
409,キイテル「神奈川ディス・ラブ」,,レギュラー,,,,,,,放送中,,
410,YOKOHAMA　DeNA　BAYSTARS,,その他,,,,,,,放送中,,
411,TANSAN HOUR　今夜もシュワシュワ,,レギュラー,,,,,,,放送中,,
412,COFFEE TALK SESSION,,レギュラー,,,,,,,放送中,,
