ID,出演者名,所属事務所,所属コード,備考
78,@onefive,@onefive,,FM横浜番組表から自動追加
94,AIBY,AIBY,,FM横浜番組表から自動追加
69,BREIMEN,BREIMEN,,FM横浜番組表から自動追加
152,CHiCO,CHiCO,,FM横浜番組表から自動追加
111,CROWN HEAD,CROWN HEAD,,FM横浜番組表から自動追加
96,DJ Dragon,DJ Dragon,,FM横浜番組表から自動追加
136,DJ OSSHY,DJ OSSHY,,FM横浜番組表から自動追加
68,DJ帝,DJ帝,,FM横浜番組表から自動追加
155,Dickey,Dickey,,FM横浜番組表から自動追加
144,EXILE TETSUYA,EXILE TETSUYA,,FM横浜番組表から自動追加
20,HAN-KUN（湘南乃風）,HAN-KUN（湘南乃風）,,FM横浜番組表から自動追加
122,IKURA,IKURA,,FM横浜番組表から自動追加
70,K,K,,FM横浜番組表から自動追加
153,KEN THE 390,KEN THE 390,,FM横浜番組表から自動追加
148,KIMI（DA PUMP）,KIMI（DA PUMP）,,FM横浜番組表から自動追加
118,Laco（EOW）,Laco（EOW）,,FM横浜番組表から自動追加
72,Lead,Lead,,FM横浜番組表から自動追加
95,Lovefunky,Lovefunky,,FM横浜番組表から自動追加
22,MITSUMI,MITSUMI,,FM横浜番組表から自動追加
131,NOLOV,NOLOV,,FM横浜番組表から自動追加
49,NakamuraEmi,NakamuraEmi,,FM横浜番組表から自動追加
57,Offo tokyo,Offo tokyo,,FM横浜番組表から自動追加
117,Omoinotake,Omoinotake,,FM横浜番組表から自動追加
43,PIGGS,PIGGS,,FM横浜番組表から自動追加
89,REIJI,REIJI,,FM横浜番組表から自動追加
35,REMO-CON,REMO-CON,,FM横浜番組表から自動追加
146,ReeSya,ReeSya,,FM横浜番組表から自動追加
37,SHIN WONHO,SHIN WONHO,,FM横浜番組表から自動追加
157,SUGIZO,SUGIZO,,FM横浜番組表から自動追加
149,U-YEAH（DA PUMP）,U-YEAH（DA PUMP）,,FM横浜番組表から自動追加
82,ZiNEZ-ジンジ-,ZiNEZ-ジンジ-,,FM横浜番組表から自動追加
92,elliott,elliott,,FM横浜番組表から自動追加
67,halca,halca,,FM横浜番組表から自動追加
17,manatie,manatie,,FM横浜番組表から自動追加
33,あこ,あこ,,FM横浜番組表から自動追加
15,あんにゅ（コアラモード.）,あんにゅ（コアラモード.）,,FM横浜番組表から自動追加
86,じゅんご,じゅんご,,FM横浜番組表から自動追加
120,なおこ,なおこ,,FM横浜番組表から自動追加
51,なかの綾,なかの綾,,FM横浜番組表から自動追加
59,なかよし先生（中谷よしふみ）,なかよし先生（中谷よしふみ）,,FM横浜番組表から自動追加
77,なるおさやか（POP ART TOWN）,なるおさやか（POP ART TOWN）,,FM横浜番組表から自動追加
83,はな,はな,,FM横浜番組表から自動追加
44,ふかわりょう,ふかわりょう,,FM横浜番組表から自動追加
42,ふくりゅう,ふくりゅう,,FM横浜番組表から自動追加
76,イマヤス,イマヤス,,FM横浜番組表から自動追加
2,ケント・フリック,ケント・フリック,,FM横浜番組表から自動追加
50,ケン（THE AGUL）,ケン（THE AGUL）,,FM横浜番組表から自動追加
98,ゴンザレス鈴木,ゴンザレス鈴木,,FM横浜番組表から自動追加
123,サイプレス上野,サイプレス上野,,FM横浜番組表から自動追加
27,シャイトープ,シャイトープ,,FM横浜番組表から自動追加
91,ジャッキー・ウー,ジャッキー・ウー,,FM横浜番組表から自動追加
56,スタミナパン,スタミナパン,,FM横浜番組表から自動追加
85,トビー,トビー,,FM横浜番組表から自動追加
99,ハセガワ アツシ,ハセガワ アツシ,,FM横浜番組表から自動追加
137,モリタニブンペイ,モリタニブンペイ,,FM横浜番組表から自動追加
30,リンダカラー∞,リンダカラー∞,,FM横浜番組表から自動追加
41,ヰ世界情緒,ヰ世界情緒,,FM横浜番組表から自動追加
133,三宅健,三宅健,,FM横浜番組表から自動追加
38,並木良和,並木良和,,FM横浜番組表から自動追加
74,中村弥生,中村弥生,,FM横浜番組表から自動追加
115,中村豪（やるせなす）,中村豪（やるせなす）,,FM横浜番組表から自動追加
81,丹羽一貴,丹羽一貴,,FM横浜番組表から自動追加
28,二ノ宮一馬（甘党男子）,二ノ宮一馬（甘党男子）,,FM横浜番組表から自動追加
100,井手大介,井手大介,,FM横浜番組表から自動追加
130,今井友理恵,今井友理恵,,FM横浜番組表から自動追加
126,今泉圭姫子,今泉圭姫子,,FM横浜番組表から自動追加
13,令和応援団 龍口健太郎,令和応援団 龍口健太郎,,FM横浜番組表から自動追加
1,光邦,宮澤　光邦,072057,
